Year,Quarter,Course,Code,Instructor,Time,Max,Enr,Place
2018,Fall,Math 1A PRE-CALCULUS,44000,"LEHMAN, R.",TBA,200,78,ON LINE
2018,Fall,Math 1B PRE-CALCULUS,44020,"LEHMAN, R.",TBA,300,294,ON LINE
2018,Fall,Math 1B PRE-CALCULUS,44030,"LEHMAN, R.",TBA,300,266,ON LINE
2018,Fall,Math 2A CALCULUS,44080,"JESSIE, D.",MWF 8:00- 8:50,219,214,SSH 100
2018,Fall,Math 2A CALCULUS,44095,"CAO, S.",MWF 9:00- 9:50,110,108,SSL 248
2018,Fall,Math 2A CALCULUS,44110,"LIU, W.",MWF 8:00- 8:50,219,219,HIB 100
2018,Fall,Math 2A CALCULUS,44125,"SIMONYAN, A.",MWF 4:00- 4:50p,230,227,DBH 1100
2018,Fall,Math 2A CALCULUS,44140,"MATEI, V.",MWF 5:00- 5:50p,240,166,PSLH 100
2018,Fall,Math 2A CALCULUS,44155,"GUO, Z.",MWF 8:00- 8:50,228,227,SSLH 100
2018,Fall,Math 2A CALCULUS,44185,"SORACE, R.",MWF 5:00- 5:50p,201,190,ELH 100
2018,Fall,Math 2B CALCULUS,44215,"YOUSSEFPOUR, H.",MWF 8:00- 8:50,202,198,DBH 1100
2018,Fall,Math 2B CALCULUS,44230,"TABRIZIAN, P.",MWF 8:00- 8:50,114,106,DBH 1600
2018,Fall,Math 2B CALCULUS,44245,"YOUSSEFPOUR, H.",MWF 4:00- 4:50p,219,214,EH 1200
2018,Fall,Math 2B CALCULUS,44260,"SOLNA, K.",MWF 12:00-12:50p,197,194,EH 1200
2018,Fall,Math 2B CALCULUS,44265,"XIN, J.",MWF 12:00-12:50p,212,205,ELH 100
2018,Fall,Math 2B CALCULUS,44275,"PLUTA, R.",MWF 6:00- 6:50p,221,219,ALP 1300
2018,Fall,Math 2B CALCULUS,44290,"PLUTA, R.",MWF 8:00- 8:50,232,231,PSLH 100
2018,Fall,Math 2D MULTIVAR CALCULUS,44355,"HEZARI, H.",MWF 3:00- 3:50p,113,112,HH 178
2018,Fall,Math 2D MULTIVAR CALCULUS,44360,"JESSIE, D.",MWF 1:00- 1:50p,214,207,ELH 100
2018,Fall,Math 2D MULTIVAR CALCULUS,44380,"KARAMI, A.",MWF 8:00- 8:50,220,201,PCB 1100
2018,Fall,Math 2D MULTIVAR CALCULUS,44386,"YU, Y.",MWF 9:00- 9:50,40,34,RH 306
2018,Fall,Math 2D MULTIVAR CALCULUS,44390,"KARPUKHIN, M.",MWF 4:00- 4:50p,100,91,HH 178
2018,Fall,Math 2D MULTIVAR CALCULUS,44401,"SIMONYAN, A.",MWF 5:00- 5:50p,104,86,SSL 290
2018,Fall,Math 2E MULTIVAR CALCULUS,44405,"TABRIZIAN, P.",MWF 11:00-11:50,118,119,HH 178
2018,Fall,Math 2E MULTIVAR CALCULUS,44415,"SETO, S.",MWF 1:00- 1:50p,117,111,RH 104
2018,Fall,Math 2E MULTIVAR CALCULUS,44426,"ZHAO, M.",MWF 10:00-10:50,104,95,SSL 228
2018,Fall,Math 2E MULTIVAR CALCULUS,44429,"SCHOLL, T.",MWF 12:00-12:50p,57,44,DBH 1500
2018,Fall,Math 3A INTRO LINEAR ALGBRA,44435,"LU, Z.",MWF 8:00- 8:50,57,57,PSCB 120
2018,Fall,Math 3A INTRO LINEAR ALGBRA,44440,"KOMZSIK, L.",MWF 9:00- 9:50,59,58,PSCB 120
2018,Fall,Math 3A INTRO LINEAR ALGBRA,44450,"PANTANO, A.",MWF 10:00-10:50,47,46,MSTB 124
